Make,Model,Model w/ Mark w/ Edition,Production From,Production To,Legacy Note,GUID,Facelift Of GUID
BMW,3,3 G21 Touring,18,,,df3939bc-987a-407d-a17a-13d1674c4ad2,
BMW,2,2 F22 Coupé,13,17,,2abdbea1-5199-4450-93b6-8d3768ae156a,
BMW,2,2 F23 Cabrio,13,17,,e97948df-447b-4f81-a432-2264d4ceba72,
BMW,2,2 F45 Active Tourer,14,18,,1dffd2c1-2b89-44cc-9a8f-1efeab3e00b0,
BMW,2,2 F46 Grand Tourer,15,18,,b4d63766-b973-49a5-b41d-6611be55ae44,
BMW,2,2 F22 Coupé,17,,Facelift,ba50c953-f160-43f8-9ff2-1f391177b266,2abdbea1-5199-4450-93b6-8d3768ae156a
BMW,2,2 F23 Cabrio,17,,Facelift,b2f79976-0441-40f2-bba9-490a706f6b97,e97948df-447b-4f81-a432-2264d4ceba72
BMW,2,2 F45 Active Tourer,18,,Facelift,7be54411-7cf8-4930-b9eb-e90270307d6c,1dffd2c1-2b89-44cc-9a8f-1efeab3e00b0
BMW,2,2 F46 Grand Tourer,18,,Facelift,d94f5a95-9b8c-425a-b5df-f6cbd7251339,b4d63766-b973-49a5-b41d-6611be55ae44
BMW,2,2 F44 Gran Coupé,19,,,b2c48a2f-66af-446f-9d65-07cc72390e4d,
BMW,1,1 E87 5D,04,07,,8146529a-9005-4642-aa99-1ee676f0f261,
BMW,1,1 E87 5D,07,11,Facelift,552c2677-86c7-4fe5-a7e1-8efd7d89f42c,8146529a-9005-4642-aa99-1ee676f0f261
BMW,1,1 E81 3D,07,11,,3a5a4e2f-39c5-43b0-b30f-227612d4fc9f,
BMW,1,1 E82 Coupé,07,10,,36f53c4d-152b-4f21-89bf-c9e57bfba015,
BMW,1,1 E88 Cabrio,07,10,,32ca113f-c0da-48a8-9e9d-f9273c6b6d31,
BMW,1,1 E82 Coupé,11,13,Facelift,7404054c-ed25-45a4-8ad7-52ae766846e4,36f53c4d-152b-4f21-89bf-c9e57bfba015
BMW,1,1 E88 Cabrio,11,13,Facelift,f5523453-b1a8-48ab-a85e-b89caed80f27,32ca113f-c0da-48a8-9e9d-f9273c6b6d31
BMW,1,1 E82 Coupé 1M,11,12,,b285a644-de25-40c1-a7f0-4825e5f33ba9,
BMW,1,1 F20 5D,11,15,,775df1a4-975a-47c8-9d8b-cfc43f7ebdba,
BMW,1,1 F21 3D,11,15,,5ad32836-f1f1-4cdc-bc4b-7b8c56c6fcdd,
BMW,1,1 F20 5D M135,12,15,,491d0787-f9a2-485c-9ecd-fa483f527dc8,
BMW,1,1 F21 3D M135,12,15,,8b344421-f9da-488f-9142-a575fcbb2318,
BMW,1,1 F20 5D,15,19,Facelift,0b886e96-2af7-42cf-a896-2a4947118867,775df1a4-975a-47c8-9d8b-cfc43f7ebdba
BMW,1,1 F21 3D,15,19,Facelift,44c19157-03ff-4356-bf52-6ee74bc171ce,5ad32836-f1f1-4cdc-bc4b-7b8c56c6fcdd
BMW,1,1 F20 5D M135,15,19,Facelift,98ee6b08-d7e9-46e7-8fc7-9bf47e54dc01,491d0787-f9a2-485c-9ecd-fa483f527dc8
